"","time_step","resources","estimate","cost_culling","cost_unused","act_culling","act_unused","harvested","sim"
"179",19,107848,107840.136054422,60,0,800,102,800,5
"180",20,106960,106541.950113379,60,0,800,83,800,5
"181",21,106056,105459.183673469,60,0,800,90,800,5
"182",22,105155,104739.229024943,60,0,800,93,800,5
"183",23,104252,104648.526077098,60,0,800,93,800,5
"184",24,103351,103270.975056689,60,0,800,81,800,5
"185",25,102444,103911.56462585,60,0,800,84,800,5
"186",26,101526,101978.458049887,60,0,800,81,800,5
"187",27,100632,99965.9863945578,60,0,800,92,800,5
"188",28,99707,98696.1451247166,60,0,800,78,800,5
"189",29,98806,99246.0317460317,60,0,800,91,800,5
"190",30,97903,98168.9342403628,60,0,800,108,800,5
"191",31,97008,96672.335600907,60,0,800,82,800,5
"192",32,96096,96400.2267573696,60,0,800,87,800,5
"193",33,95185,94200.6802721088,60,0,800,93,800,5
"194",34,94285,95583.9002267574,60,0,800,92,800,5
"195",35,93384,93304.9886621315,60,0,800,66,800,5
"196",36,92494,90975.0566893424,60,0,800,107,800,5
"197",37,91593,91536.2811791383,60,0,800,103,800,5
"198",38,90713,92006.8027210884,60,0,800,76,800,5
"199",39,89829,90680.2721088435,60,0,800,84,800,5
"200",40,88936,88792.5170068027,60,0,800,98,800,5
"201",1,124863,125572.562358277,33,27,1500,17,1500,6
"202",2,123238,123871.882086168,60,0,800,103,800,6
"203",3,122315,122046.485260771,60,0,800,80,800,6
"204",4,121397,121882.0861678,60,0,800,83,800,6
"205",5,120452,121009.070294785,60,0,800,82,800,6
"206",6,119536,120634.920634921,60,0,800,98,800,6
"207",7,118606,119092.970521542,60,0,800,91,800,6
"208",8,117696,117239.229024943,60,0,800,105,800,6
"209",9,116781,115357.142857143,60,0,800,83,800,6
"210",10,115863,116496.598639456,60,0,800,81,800,6
"211",11,114925,115799.319727891,60,0,800,93,800,6
"212",12,114015,113066.893424036,60,0,800,79,800,6
"213",13,113114,113939.909297052,60,0,800,79,800,6
"214",14,112202,113225.623582766,60,0,800,94,800,6
"215",15,111305,111723.35600907,60,0,800,72,800,6
"216",16,110383,110170.068027211,60,0,800,86,800,6
"217",17,109462,111009.070294785,60,0,800,87,800,6
"218",18,108565,108287.98185941,60,0,800,52,800,6
"219",19,107661,107976.19047619,60,0,800,90,800,6
"220",20,106756,105600.907029478,60,0,800,91,800,6
"221",21,105860,104897.959183673,60,0,800,69,800,6
"222",22,104961,104750.566893424,60,0,800,75,800,6
"223",23,104051,104444.444444444,60,0,800,96,800,6
"224",24,103142,103458.049886621,60,0,800,90,800,6
"225",25,102246,103730.158730159,60,0,800,69,800,6
"226",26,101352,99869.6145124716,60,0,800,80,800,6
"227",27,100457,100980.725623583,60,0,800,82,800,6
"228",28,99548,99863.9455782313,60,0,800,97,800,6
"229",29,98643,98724.4897959184,60,0,800,78,800,6
"230",30,97736,98446.7120181406,60,0,800,82,800,6
"231",31,96837,96763.0385487528,60,0,800,92,800,6
"232",32,95939,95249.433106576,60,0,800,86,800,6
"233",33,95045,93645.1247165533,60,0,800,87,800,6
"234",34,94155,94727.8911564626,60,0,800,94,800,6
"235",35,93243,93866.2131519274,60,0,800,87,800,6
"236",36,92346,92318.5941043084,60,0,800,101,800,6
"237",37,91454,92335.6009070295,60,0,800,90,800,6
"238",38,90562,91213.1519274376,60,0,800,77,800,6
"239",39,89658,89931.9727891157,60,0,800,96,800,6
"240",40,88759,89654.1950113379,60,0,800,86,800,6
"241",1,124848,125368.480725624,24,36,2050,12,2050,7
"242",2,122667,122794.784580499,60,0,800,75,800,7
"243",3,121733,120770.975056689,60,0,800,97,800,7
"244",4,120825,121082.766439909,60,0,800,80,800,7
"245",5,119919,119648.526077098,60,0,800,89,800,7
"246",6,118983,119195.011337868,60,0,800,106,800,7
"247",7,118072,118594.10430839,60,0,800,90,800,7
"248",8,117148,118038.548752834,60,0,800,77,800,7
"249",9,116227,116020.408163265,60,0,800,100,800,7
"250",10,115309,116683.673469388,60,0,800,74,800,7
"251",11,114388,114217.68707483,60,0,800,88,800,7
"252",12,113474,112624.716553288,60,0,800,65,800,7
"253",13,112563,113044.217687075,60,0,800,95,800,7
"254",14,111659,110753.968253968,60,0,800,89,800,7
"255",15,110732,110357.142857143,60,0,800,88,800,7
"256",16,109828,109053.287981859,60,0,800,86,800,7
"257",17,108928,108747.16553288,60,0,800,78,800,7
"258",18,108026,107862.811791383,60,0,800,94,800,7
"259",19,107129,106740.362811791,60,0,800,78,800,7
"260",20,106226,106558.9569161,60,0,800,75,800,7
"261",21,105323,105476.19047619,60,0,800,68,800,7
"262",22,104409,103985.260770975,60,0,800,68,800,7
"263",23,103510,103270.975056689,60,0,800,89,800,7
"264",24,102600,102834.467120181,60,0,800,77,800,7
"265",25,101690,101377.551020408,60,0,800,107,800,7
"266",26,100785,99988.6621315193,60,0,800,90,800,7
"267",27,99876,99829.9319727891,60,0,800,70,800,7
"268",28,98977,99365.0793650794,60,0,800,76,800,7
"269",29,98095,98633.7868480726,60,0,800,90,800,7
"270",30,97212,97902.4943310658,60,0,800,75,800,7
"271",31,96309,96298.1859410431,60,0,800,92,800,7
"272",32,95414,95748.2993197279,60,0,800,95,800,7
"273",33,94532,95181.4058956916,60,0,800,71,800,7
"274",34,93623,93032.8798185941,60,0,800,88,800,7
"275",35,92719,92448.9795918367,60,0,800,88,800,7
"276",36,91824,91428.5714285714,60,0,800,97,800,7
"277",37,90922,91298.1859410431,60,0,800,92,800,7
"278",38,90034,90623.5827664399,60,0,800,85,800,7
"279",39,89145,88973.9229024943,60,0,800,82,800,7
"280",40,88264,88843.537414966,60,0,800,81,800,7
"281",1,124883,124818.594104308,32,28,1550,0,1550,8
"282",2,123204,123316.326530612,60,0,800,95,800,8
"283",3,122300,123027.210884354,60,0,800,89,800,8
"284",4,121386,121836.734693878,60,0,800,84,800,8
"285",5,120459,120924.036281179,60,0,800,100,800,8
"286",6,119545,119160.997732426,60,0,800,76,800,8
"287",7,118615,119126.984126984,60,0,800,89,800,8
"288",8,117697,118004.535147392,60,0,800,80,800,8
"289",9,116756,116077.097505669,60,0,800,98,800,8
"290",10,115851,115096.371882086,60,0,800,87,800,8
"291",11,114919,114716.553287982,60,0,800,101,800,8
"292",12,114007,115391.156462585,60,0,800,85,800,8
"293",13,113086,112789.115646259,60,0,800,80,800,8
"294",14,112162,113656.462585034,60,0,800,95,800,8
"295",15,111237,110090.702947846,60,0,800,102,800,8
"296",16,110345,110833.333333333,60,0,800,87,800,8
"297",17,109440,110357.142857143,60,0,800,82,800,8
"298",18,108521,108044.217687075,60,0,800,94,800,8
"299",19,107613,107670.068027211,60,0,800,89,800,8
"300",20,106710,107029.47845805,60,0,800,90,800,8
"301",21,105801,106020.408163265,60,0,800,94,800,8
"302",22,104891,104858.276643991,60,0,800,96,800,8
"303",23,103978,104761.904761905,60,0,800,81,800,8
"304",24,103074,103973.922902494,60,0,800,81,800,8
"305",25,102166,102324.263038549,60,0,800,84,800,8
"306",26,101274,101831.065759637,60,0,800,73,800,8
"307",27,100365,98832.1995464853,60,0,800,73,800,8
"308",28,99473,100634.920634921,60,0,800,86,800,8
"309",29,98578,99472.7891156463,60,0,800,80,800,8
"310",30,97684,97069.1609977324,60,0,800,82,800,8
"311",31,96785,98316.3265306122,60,0,800,98,800,8
"312",32,95898,94971.6553287982,60,0,800,94,800,8
"313",33,94989,94841.2698412698,60,0,800,80,800,8
"314",34,94084,92641.7233560091,60,0,800,97,800,8
"315",35,93187,93526.0770975057,60,0,800,73,800,8
"316",36,92286,94058.9569160998,60,0,800,78,800,8
"317",37,91386,91780.0453514739,60,0,800,96,800,8
"318",38,90506,91502.2675736961,60,0,800,59,800,8
"319",39,89617,90340.1360544218,60,0,800,98,800,8
"320",40,88741,88049.8866213152,60,0,800,87,800,8
"321",1,124855,123690.476190476,36,24,1350,31,1350,9
"322",2,123377,123327.664399093,60,0,800,92,800,9
"323",3,122455,122375.283446712,60,0,800,52,800,9
"324",4,121533,121468.253968254,60,0,800,89,800,9
"325",5,120622,120374.149659864,60,0,800,80,800,9
"326",6,119708,118032.879818594,60,0,800,79,800,9
"327",7,118774,118208.616780045,60,0,800,82,800,9
"328",8,117851,117885.487528345,60,0,800,95,800,9
"329",9,116932,115782.31292517,60,0,800,107,800,9
"330",10,116028,117210.884353741,60,0,800,69,800,9
"331",11,115119,113582.766439909,60,0,800,104,800,9
"332",12,114193,114909.297052154,60,0,800,78,800,9
"333",13,113294,111853.741496599,60,0,800,87,800,9
"334",14,112377,111383.219954649,60,0,800,76,800,9
"335",15,111435,110481.859410431,60,0,800,83,800,9
"336",16,110545,112284.580498866,60,0,800,68,800,9
"337",17,109640,110317.46031746,60,0,800,107,800,9
"338",18,108729,109178.004535147,60,0,800,82,800,9
"339",19,107813,108293.650793651,60,0,800,81,800,9
"340",20,106918,107431.972789116,60,0,800,87,800,9
"341",21,106009,105731.292517007,60,0,800,99,800,9
"342",22,105103,103945.578231293,60,0,800,94,800,9
"343",23,104203,105005.66893424,60,0,800,93,800,9
"344",24,103293,102828.798185941,60,0,800,85,800,9
"345",25,102391,103032.879818594,60,0,800,68,800,9
"346",26,101488,101207.482993197,60,0,800,94,800,9
"347",27,100592,100005.66893424,60,0,800,99,800,9
"348",28,99694,101054.421768707,60,0,800,86,800,9
"349",29,98786,98248.2993197279,60,0,800,98,800,9
"350",30,97892,97346.9387755102,60,0,800,86,800,9
"351",31,96991,97273.2426303855,60,0,800,89,800,9
"352",32,96102,97057.8231292517,60,0,800,81,800,9
"353",33,95202,95192.7437641723,60,0,800,82,800,9
"354",34,94317,95034.0136054422,60,0,800,86,800,9
"355",35,93415,93503.4013605442,60,0,800,92,800,9
"356",36,92518,93168.9342403628,60,0,800,78,800,9
"357",37,91622,91507.9365079365,60,0,800,86,800,9
"358",38,90728,90884.3537414966,60,0,800,94,800,9
"359",39,89828,90045.3514739229,60,0,800,89,800,9
"360",40,88940,89467.1201814059,60,0,800,116,800,9
"361",1,124879,123764.172335601,34,26,1450,20,1450,10
"362",2,123291,123117.9138322,60,0,800,73,800,10
"363",3,122390,123010.204081633,60,0,800,91,800,10
"364",4,121473,121258.503401361,60,0,800,87,800,10
"365",5,120554,120646.258503401,60,0,800,73,800,10
"366",6,119632,119603.174603175,60,0,800,79,800,10
"367",7,118733,118452.380952381,60,0,800,84,800,10
"368",8,117838,117318.594104308,60,0,800,86,800,10
"369",9,116921,116802.721088435,60,0,800,66,800,10
"370",10,115988,116479.591836735,60,0,800,93,800,10
"371",11,115075,114648.526077098,60,0,800,99,800,10
"372",12,114154,114007.936507937,60,0,800,76,800,10
"373",13,113252,113310.657596372,60,0,800,95,800,10
