"","time_step","resources","estimate","cost_culling","cost_tend_crop","cost_unused","act_culling","act_kill_crop","act_unused","crop_yield","harvested","sim"
"240",40,1914899,1929251.70068027,30,10,0,124,0,0,43.4296230846128,124,"N1d"
"241",41,1912747,1923628.11791383,30,10,0,124,0,0,43.613162474448,124,"N1d"
"242",42,1910606,1910657.59637188,30,10,0,124,0,0,43.8058096198482,124,"N1d"
"243",43,1908444,1950113.37868481,30,10,0,124,0,0,44.0049782540557,124,"N1d"
"244",44,1906279,1902494.33106576,30,10,0,124,0,0,44.2060073676368,124,"N1d"
"245",45,1904117,1898049.88662132,30,10,0,124,0,0,44.4071419188094,124,"N1d"
"246",46,1901940,1874195.01133787,30,10,0,124,0,0,44.6047367415951,124,"N1d"
"247",47,1899863,1895963.71882086,30,10,0,124,0,0,44.8048174994269,124,"N1d"
"248",48,1897778,1890521.54195011,30,10,0,124,0,0,44.991470885165,124,"N1d"
"249",49,1895690,1877278.91156463,30,10,0,124,0,0,45.1861966092401,124,"N1d"
"250",50,1893586,1920453.51473923,30,10,0,124,0,0,45.383585582106,124,"N1d"
"251",1,1997974,2012426.30385488,10,10,20,388,0,0,164.209095714011,388,"N1e"
"252",2,1995545,1971972.78911565,30,10,0,125,0,0,164.620446700372,125,"N1e"
"253",3,1993406,2003356.00907029,10,10,20,388,0,0,165.16163260851,388,"N1e"
"254",4,1990989,1999546.48526077,30,10,0,125,0,0,165.621447203151,125,"N1e"
"255",5,1988836,1998458.04988662,30,10,0,125,0,0,166.159178307568,125,"N1e"
"256",6,1986759,2004263.03854875,10,10,20,388,0,0,166.627791771633,388,"N1e"
"257",7,1984437,1994467.12018141,30,10,0,125,0,0,167.082017316886,125,"N1e"
"258",8,1982329,2021405.89569161,10,10,20,388,0,0,167.623047791963,388,"N1e"
"259",9,1979924,1999183.67346939,30,10,0,125,0,0,168.09236301957,125,"N1e"
"260",10,1977709,1962086.16780045,30,10,0,125,0,0,168.656102407539,125,"N1e"
"261",11,1975484,1963446.71201814,30,10,0,125,0,0,169.141250599499,125,"N1e"
"262",12,1973380,1994013.60544218,30,10,0,125,0,0,169.628893885129,125,"N1e"
"263",13,1971331,1974331.06575964,30,10,0,125,0,0,170.098962463491,125,"N1e"
"264",14,1969224,1971972.78911565,30,10,0,125,0,0,170.560826164458,125,"N1e"
"265",15,1967030,1954195.01133787,30,10,0,125,0,0,171.027462664858,125,"N1e"
"266",16,1964928,1961179.138322,30,10,0,125,0,0,171.522720003972,125,"N1e"
"267",17,1962758,1954739.22902494,30,10,0,125,0,0,171.988317286628,125,"N1e"
"268",18,1960612,1955374.14965986,30,10,0,125,0,0,172.447007706778,125,"N1e"
"269",19,1958484,1957006.80272109,30,10,0,125,0,0,172.919371564275,125,"N1e"
"270",20,1956324,1967074.82993197,30,10,0,125,0,0,173.391960056869,125,"N1e"
"271",21,1954246,1966712.01814059,30,10,0,125,0,0,173.884754437204,125,"N1e"
"272",22,1952098,1933968.25396825,30,10,0,125,0,0,174.354877812995,125,"N1e"
