"","time_step","resources","estimate","cost_culling","cost_tend_crop","cost_unused","act_culling","act_kill_crop","act_unused","crop_yield","harvested","sim"
"104",4,1999379,1976780.04535147,30,10,0,121,0,0,36.826265054952,121,"N1b"
"105",5,1999258,1989931.97278912,30,10,0,121,0,0,36.8418101693921,121,"N1b"
"106",6,1999137,1986213.15192744,30,10,0,121,0,0,36.8545247481839,121,"N1b"
"107",7,1999016,2008888.88888889,10,10,20,376,0,0,36.8684907868472,376,"N1b"
"108",8,1998640,1992199.54648526,30,10,0,121,0,0,36.8833516612501,121,"N1b"
"109",9,1998519,1987392.29024943,30,10,0,121,0,0,36.9259830622102,121,"N1b"
"110",10,1998398,2021043.08390023,10,10,20,376,0,0,36.9403169410911,376,"N1b"
"111",11,1998022,2014421.76870748,10,10,20,376,0,0,36.9584531996043,376,"N1b"
"112",12,1997646,1981859.41043084,30,10,0,121,0,0,37.0076177384438,121,"N1b"
"113",13,1997525,2001723.35600907,10,10,20,376,0,0,37.0567950063674,376,"N1b"
"114",14,1997149,1981587.3015873,30,10,0,121,0,0,37.073034594377,121,"N1b"
"115",15,1997028,1958458.04988662,30,10,0,121,0,0,37.1199235910373,121,"N1b"
"116",16,1996907,2000544.21768707,10,10,20,376,0,0,37.1351974684287,376,"N1b"
"117",17,1996531,1999546.48526077,30,10,0,121,0,0,37.1514376102022,121,"N1b"
"118",18,1996410,1976507.93650794,30,10,0,121,0,0,37.1955802376754,121,"N1b"
"119",19,1996289,1999909.29705215,30,10,0,121,0,0,37.2111166769279,121,"N1b"
"120",20,1996168,2007709.75056689,10,10,20,376,0,0,37.2253997980043,376,"N1b"
"121",21,1995792,1973786.84807256,30,10,0,121,0,0,37.2390169925072,121,"N1b"
"122",22,1995671,1999092.97052154,30,10,0,121,0,0,37.2863221789382,121,"N1b"
"123",23,1995550,1999002.2675737,30,10,0,121,0,0,37.2999420357835,121,"N1b"
"124",24,1995429,1974784.58049887,30,10,0,121,0,0,37.3153408138564,121,"N1b"
"125",25,1995308,1999818.59410431,30,10,0,121,0,0,37.3298731000343,121,"N1b"
"126",26,1995187,1981768.70748299,30,10,0,121,0,0,37.3450775882832,121,"N1b"
"127",27,1995066,1982857.14285714,30,10,0,121,0,0,37.3592000370311,121,"N1b"
"128",28,1994945,1996643.99092971,30,10,0,121,0,0,37.3756017107368,121,"N1b"
"129",29,1994824,2010158.73015873,10,10,20,376,0,0,37.3901578924967,376,"N1b"
"130",30,1994448,1982312.92517007,30,10,0,121,0,0,37.4050760161106,121,"N1b"
"131",31,1994327,2007528.3446712,10,10,20,376,0,0,37.4538957404752,376,"N1b"
"132",32,1993951,1968979.59183673,30,10,0,121,0,0,37.4700832235983,121,"N1b"
"133",33,1993830,1998458.04988662,30,10,0,121,0,0,37.5166973751339,121,"N1b"
"134",34,1993709,1999092.97052154,30,10,0,121,0,0,37.5317785642397,121,"N1b"
"135",35,1993588,1973151.92743764,30,10,0,121,0,0,37.5474895394433,121,"N1b"
"136",36,1993467,1988934.24036281,30,10,0,121,0,0,37.5631685850451,121,"N1b"
"137",37,1993346,1990929.70521542,30,10,0,121,0,0,37.5779259111947,121,"N1b"
"138",38,1993225,1991111.11111111,30,10,0,121,0,0,37.5928324567778,121,"N1b"
"139",39,1993104,2016145.12471655,10,10,20,376,0,0,37.6078980122769,376,"N1b"
"140",40,1992728,1986122.44897959,30,10,0,121,0,0,37.6238393129533,121,"N1b"
"141",41,1992607,1997188.20861678,30,10,0,121,0,0,37.6684209061288,121,"N1b"
"142",42,1992486,1978412.6984127,30,10,0,121,0,0,37.6841753301535,121,"N1b"
"143",43,1992365,2005986.39455782,10,10,20,376,0,0,37.698465638566,376,"N1b"
"144",44,1991989,2032743.76417234,10,10,20,376,0,0,37.7130121434773,376,"N1b"
"145",45,1991613,1969160.99773243,30,10,0,121,0,0,37.7601313966208,121,"N1b"
"146",46,1991492,1997278.91156463,30,10,0,121,0,0,37.8050403903911,121,"N1b"
"147",47,1991371,1963900.22675737,30,10,0,121,0,0,37.821601384305,121,"N1b"
"148",48,1991250,1965442.17687075,30,10,0,121,0,0,37.8355453278626,121,"N1b"
"149",49,1991129,2005804.98866213,10,10,20,376,0,0,37.8519213714742,376,"N1b"
"150",50,1990753,1982040.81632653,30,10,0,121,0,0,37.8661657379511,121,"N1b"
"151",1,2e+06,1996009.07029478,14,10,16,277,0,0,13.4664697296703,277,"N1c"
"152",2,1999723,1998185.94104308,30,10,0,126,0,0,13.4665695712389,126,"N1c"
"153",3,1999597,1986848.07256236,30,10,0,126,0,0,13.48237134811,126,"N1c"
"154",4,1999471,1997006.80272109,30,10,0,126,0,0,13.4888676736935,126,"N1c"
"155",5,1999345,2012607.70975057,10,10,20,391,0,0,13.4959748110394,391,"N1c"
"156",6,1998954,1988843.53741497,30,10,0,126,0,0,13.5019977995057,126,"N1c"
"157",7,1998828,2009886.62131519,10,10,20,391,0,0,13.5239602793503,391,"N1c"
"158",8,1998437,1989478.45804989,30,10,0,126,0,0,13.5318481867208,126,"N1c"
"159",9,1998311,1986485.26077097,30,10,0,126,0,0,13.5536688277102,126,"N1c"
"160",10,1998185,1997188.20861678,30,10,0,126,0,0,13.5610934095303,126,"N1c"
"161",11,1998059,2011065.75963719,10,10,20,391,0,0,13.5675888410606,391,"N1c"
"162",12,1997668,1986485.26077097,30,10,0,126,0,0,13.5751983671082,126,"N1c"
"163",13,1997542,2001723.35600907,10,10,20,391,0,0,13.5966470306253,391,"N1c"
"164",14,1997151,2037823.1292517,10,10,20,391,0,0,13.6039600398831,391,"N1c"
"165",15,1996760,2005623.58276644,10,10,20,391,0,0,13.6254165138167,391,"N1c"
"166",16,1996369,1994376.41723356,30,10,0,126,0,0,13.6490116769875,126,"N1c"
"167",17,1996243,1990657.59637188,30,10,0,126,0,0,13.67138021144,126,"N1c"
"168",18,1996117,2016507.93650794,10,10,20,391,0,0,13.6783629617094,391,"N1c"
"169",19,1995726,1968888.88888889,30,10,0,126,0,0,13.6863392672345,126,"N1c"
"170",20,1995600,1977414.96598639,30,10,0,126,0,0,13.7077327397253,126,"N1c"
"171",21,1995474,1964081.63265306,30,10,0,126,0,0,13.7143145203742,126,"N1c"
"172",22,1995348,1981678.00453515,30,10,0,126,0,0,13.7209337214716,126,"N1c"
"173",23,1995222,1990113.37868481,30,10,0,126,0,0,13.7285548157414,126,"N1c"
"174",24,1995096,2001995.46485261,10,10,20,391,0,0,13.7359185259007,391,"N1c"
"175",25,1994705,1974240.36281179,30,10,0,126,0,0,13.7429638698827,126,"N1c"
"176",26,1994579,2004807.25623583,10,10,20,391,0,0,13.7664116820291,391,"N1c"
"177",27,1994188,1998820.861678,30,10,0,126,0,0,13.7728924021282,126,"N1c"
"178",28,1994062,1984943.3106576,30,10,0,126,0,0,13.79466240943,126,"N1c"
"179",29,1993936,1981315.19274376,30,10,0,126,0,0,13.8024599628041,126,"N1c"
"180",30,1993810,2010158.73015873,10,10,20,391,0,0,13.8096288540796,391,"N1c"
"181",31,1993419,1990657.59637188,30,10,0,126,0,0,13.8163945029277,126,"N1c"
"182",32,1993293,1973696.14512472,30,10,0,126,0,0,13.8374377847588,126,"N1c"
"183",33,1993167,1975419.50113379,30,10,0,126,0,0,13.8443156246693,126,"N1c"
"184",34,1993041,1988480.72562358,30,10,0,126,0,0,13.8512717515835,126,"N1c"
"185",35,1992915,1976870.74829932,30,10,0,126,0,0,13.8587118473042,126,"N1c"
"186",36,1992789,1983492.06349206,30,10,0,126,0,0,13.8658921062502,126,"N1c"
"187",37,1992663,1970702.94784581,30,10,0,126,0,0,13.8740067262659,126,"N1c"
"188",38,1992537,2004263.03854875,10,10,20,391,0,0,13.8815595160708,391,"N1c"
"189",39,1992146,1990385.48752834,30,10,0,126,0,0,13.8895017933692,126,"N1c"
"190",40,1992020,1982766.4399093,30,10,0,126,0,0,13.9103086405368,126,"N1c"
"191",41,1991894,1983038.54875283,30,10,0,126,0,0,13.917716283019,126,"N1c"
"192",42,1991768,1975873.01587302,30,10,0,126,0,0,13.9242114544772,126,"N1c"
"193",43,1991642,1980589.569161,30,10,0,126,0,0,13.9313331801186,126,"N1c"
"194",44,1991516,1987482.99319728,30,10,0,126,0,0,13.9385112431338,126,"N1c"
"195",45,1991390,1995283.44671202,30,10,0,126,0,0,13.9461148709733,126,"N1c"
"196",46,1991264,1990385.48752834,30,10,0,126,0,0,13.9536588802638,126,"N1c"
"197",47,1991138,1966167.80045351,30,10,0,126,0,0,13.9607592469585,126,"N1c"
"198",48,1991012,2009614.51247166,10,10,20,391,0,0,13.9683089174048,391,"N1c"
"199",49,1990621,1964081.63265306,30,10,0,126,0,0,13.9753345012073,126,"N1c"
"200",50,1990495,1999002.2675737,30,10,0,126,0,0,13.9981269843567,126,"N1c"
"201",1,2e+06,1978412.6984127,28,10,2,133,0,0,36.4399954014708,133,"N1d"
"202",2,1999867,2008707.4829932,10,10,20,393,0,0,36.4397481946438,393,"N1d"
"203",3,1999474,1994557.82312925,30,10,0,128,0,0,36.4557637281893,128,"N1d"
"204",4,1999346,2009070.29478458,10,10,20,393,0,0,36.5033554622092,393,"N1d"
"205",5,1998953,1982675.73696145,30,10,0,128,0,0,36.51927786893,128,"N1d"
"206",6,1998825,1996643.99092971,30,10,0,128,0,0,36.5663291847892,128,"N1d"
"207",7,1998697,1998276.64399093,30,10,0,128,0,0,36.5806929666623,128,"N1d"
"208",8,1998569,1999818.59410431,30,10,0,128,0,0,36.5959569285049,128,"N1d"
"209",9,1998441,1987120.1814059,30,10,0,128,0,0,36.610563447416,128,"N1d"
"210",10,1998313,2001632.65306122,10,10,20,393,0,0,36.6251312048091,393,"N1d"
"211",11,1997920,2000090.70294785,30,10,0,128,0,0,36.6406329590121,128,"N1d"
"212",12,1997792,1979863.94557823,30,10,0,128,0,0,36.687445768612,128,"N1d"
"213",13,1997664,2019047.61904762,10,10,20,393,0,0,36.7030663594543,393,"N1d"
"214",14,1997271,1997823.1292517,30,10,0,128,0,0,36.7180931307375,128,"N1d"
"215",15,1997143,2000907.02947846,10,10,20,393,0,0,36.7649759704042,393,"N1d"
"216",16,1996750,1970702.94784581,30,10,0,128,0,0,36.7805211852815,128,"N1d"
"217",17,1996622,2007619.04761905,10,10,20,393,0,0,36.8266894102246,393,"N1d"
"218",18,1996229,1989206.34920635,30,10,0,128,0,0,36.8423932627136,128,"N1d"
"219",19,1996101,2003809.52380952,10,10,20,393,0,0,36.8912877728787,393,"N1d"
"220",20,1995708,1978412.6984127,30,10,0,128,0,0,36.9063224165608,128,"N1d"
"221",21,1995580,1996009.07029478,30,10,0,128,0,0,36.9539780234022,128,"N1d"
"222",22,1995452,1969795.91836735,30,10,0,128,0,0,36.9697185641843,128,"N1d"
"223",23,1995324,1974240.36281179,30,10,0,128,0,0,36.9852565044924,128,"N1d"
"224",24,1995196,1992834.46712018,30,10,0,128,0,0,37.0003198222198,128,"N1d"
"225",25,1995068,1982585.03401361,30,10,0,128,0,0,37.0153685694744,128,"N1d"
"226",26,1994940,2006167.80045351,10,10,20,393,0,0,37.0290329112192,393,"N1d"
"227",27,1994547,1997823.1292517,30,10,0,128,0,0,37.0446620388275,128,"N1d"
"228",28,1994419,1997551.02040816,30,10,0,128,0,0,37.0940435688705,128,"N1d"
"229",29,1994291,1991292.5170068,30,10,0,128,0,0,37.111070281363,128,"N1d"
"230",30,1994163,2008344.67120181,10,10,20,393,0,0,37.1256646601418,393,"N1d"
"231",31,1993770,1975419.50113379,30,10,0,128,0,0,37.1410383309951,128,"N1d"
"232",32,1993642,2006077.09750567,10,10,20,393,0,0,37.1892974856426,393,"N1d"
"233",33,1993249,2003718.82086168,10,10,20,393,0,0,37.2037969169619,393,"N1d"
"234",34,1992856,1992471.6553288,30,10,0,128,0,0,37.2556915455288,128,"N1d"
"235",35,1992728,1973877.55102041,30,10,0,128,0,0,37.3015262178157,128,"N1d"
"236",36,1992600,1976780.04535147,30,10,0,128,0,0,37.3168263000124,128,"N1d"
"237",37,1992472,1990839.00226757,30,10,0,128,0,0,37.3344081306498,128,"N1d"
"238",38,1992344,2004988.66213152,10,10,20,393,0,0,37.3509445742068,393,"N1d"
"239",39,1991951,1998548.75283447,30,10,0,128,0,0,37.3681210795066,128,"N1d"
"240",40,1991823,2005170.06802721,10,10,20,393,0,0,37.4186693529338,393,"N1d"
"241",41,1991430,1969070.29478458,30,10,0,128,0,0,37.4333331671377,128,"N1d"
"242",42,1991302,2002811.79138322,10,10,20,393,0,0,37.482902099086,393,"N1d"
"243",43,1990909,1971972.78911565,30,10,0,128,0,0,37.499359732114,128,"N1d"
"244",44,1990781,1990657.59637188,30,10,0,128,0,0,37.5448973149953,128,"N1d"
"245",45,1990653,1963900.22675737,30,10,0,128,0,0,37.5599428940571,128,"N1d"
"246",46,1990525,1999274.37641723,30,10,0,128,0,0,37.5774618471941,128,"N1d"
"247",47,1990397,2003900.22675737,10,10,20,393,0,0,37.5937772560342,393,"N1d"
"248",48,1990004,1999092.97052154,30,10,0,128,0,0,37.6106924198498,128,"N1d"
"249",49,1989876,2028752.83446712,10,10,20,393,0,0,37.661153834433,393,"N1d"
"250",50,1989483,2008344.67120181,10,10,20,393,0,0,37.6770616127392,393,"N1d"
