"","X","time_step","resources","estimate","cost_culling","cost_tend_crop","cost_unused","act_culling","act_kill_crop","act_unused","crop_yield","harvested","sim"
"133",33,33,1929096,1926077.09750567,30,10,0,125,0,0,42.1800971049193,125,"N1b"
"134",34,34,1926896,1915827.66439909,30,10,0,125,0,0,42.3684756405784,125,"N1b"
"135",35,35,1924827,1928526.07709751,30,10,0,125,0,0,42.5654467705077,125,"N1b"
"136",36,36,1922662,1939138.32199546,30,10,0,125,0,0,42.7527029736334,125,"N1b"
"137",37,37,1920624,1923537.41496599,30,10,0,125,0,0,42.9456464925901,125,"N1b"
"138",38,38,1918558,1912199.54648526,30,10,0,125,0,0,43.1191294394105,125,"N1b"
"139",39,39,1916419,1903219.95464853,30,10,0,125,0,0,43.3070147859475,125,"N1b"
"140",40,40,1914244,1903038.54875283,30,10,0,125,0,0,43.5047687693474,125,"N1b"
"141",41,41,1912178,1901587.3015873,30,10,0,125,0,0,43.7021787869746,125,"N1b"
"142",42,42,1910094,1925170.06802721,30,10,0,125,0,0,43.8968042580203,125,"N1b"
"143",43,43,1907978,1906213.15192744,30,10,0,125,0,0,44.0817571390724,125,"N1b"
"144",44,44,1905861,1909659.86394558,30,10,0,125,0,0,44.2637535270363,125,"N1b"
"145",45,45,1903661,1918639.45578231,30,10,0,125,0,0,44.4599180518792,125,"N1b"
"146",46,46,1901570,1894693.87755102,30,10,0,125,0,0,44.6567475416816,125,"N1b"
"147",47,47,1899547,1919002.2675737,30,10,0,125,0,0,44.8452462961055,125,"N1b"
"148",48,48,1897452,1887165.53287982,30,10,0,125,0,0,45.0354881325066,125,"N1b"
"149",49,49,1895271,1895328.79818594,30,10,0,125,0,0,45.2310063635067,125,"N1b"
"150",50,50,1893143,1890884.3537415,30,10,0,125,0,0,45.4350331253457,125,"N1b"
