"","time_step","sim","available_yld","sim_yield","trees","perc_yld"
"65",15,"N1a",24000,165.021907649287,1997700,0.687591281872029
"66",16,"N1a",24000,165.028784845415,1997697,0.687619936855896
"67",17,"N1a",24000,164.899990710656,1997697,0.687083294627733
"68",18,"N1a",24000,165.024549693335,1997323,0.687602290388896
"69",19,"N1a",24000,165.15504827097,1997323,0.688146034462375
"70",20,"N1a",24000,165.153482886483,1997319,0.688139512027013
"71",21,"N1a",24000,165.027758047805,1997319,0.687615658532521
"72",22,"N1a",24000,165.026439803256,1996937,0.6876101658469
"73",23,"N1a",24000,165.28575207399,1996552,0.688690633641625
"74",24,"N1a",24000,165.290220261211,1996552,0.688709251088379
"75",25,"N1a",24000,165.423036880802,1996169,0.689262653670008
"76",26,"N1a",24000,165.418285874058,1996169,0.689242857808575
"77",27,"N1a",24000,165.548135314066,1995788,0.689783897141942
"78",28,"N1a",24000,165.680737878538,1995788,0.690336407827242
"79",29,"N1a",24000,165.67255336896,1995788,0.690302305704
"80",30,"N1a",24000,165.668876156492,1995788,0.690286983985383
"81",31,"N1a",24000,165.674634506874,1995773,0.690310977111975
"82",32,"N1a",24000,165.686376832072,1995773,0.690359903466967
"83",33,"N1a",24000,165.67820242552,1995773,0.690325843439667
"84",34,"N1a",24000,165.678692922442,1995773,0.690327887176842
"85",35,"N1a",24000,165.553335584726,1995773,0.689805564936358
"86",36,"N1a",24000,165.68103428329,1995393,0.690337642847042
"87",37,"N1a",24000,165.684250635568,1995393,0.690351044314867
"88",38,"N1a",24000,165.812829077885,1995016,0.690886787824521
"89",39,"N1a",24000,165.937906706274,1995016,0.691407944609475
"90",40,"N1a",24000,165.937278039778,1995016,0.691405325165742
"91",41,"N1a",24000,165.812941709274,1995016,0.690887257121975
"92",42,"N1a",24000,165.94397361466,1994638,0.691433223394417
"93",43,"N1a",24000,165.93866684445,1994638,0.691411111851875
"94",44,"N1a",24000,165.936342883436,1994257,0.691401428680983
"95",45,"N1a",24000,166.198319076034,1993871,0.692492996150142
"96",46,"N1a",24000,166.3323355711,1993871,0.693051398212917
"97",47,"N1a",24000,166.33341765571,1993871,0.693055906898792
"98",48,"N1a",24000,166.323868305421,1993871,0.693016117939254
"99",49,"N1a",24000,166.200877765318,1993855,0.692503657355492
"100",50,"N1a",24000,166.209183360462,1993467,0.692538264001925
